,Rule,Transaction,Antecedent,Consequent,Support,Confidence,Lift
0,{3.5 -> 20},"['3.5', '20']",3.5,20,0.23246297739672642,0.7716688227684346,1.0460127835307993
1,{4.0 -> 20},"['4.0', '20']",4.0,20,0.294037412314887,0.6937931034482759,0.9404506621491157
2,{CA -> 20},"['CA', '20']",CA,20,0.3113795791114575,0.7387887193712437,1.0014431346574808
3,{Few_American Indian population -> 20},"['Few_American Indian population', '20']",Few_American Indian population,20,0.17186282151208107,0.6816074188562596,0.9239327188511158
4,{Few_Asian population -> 20},"['Few_Asian population', '20']",Few_Asian population,20,0.19972720187061574,0.7902852737085582,1.0712477614031486
5,{Few_Black population -> 20},"['Few_Black population', '20']",Few_Black population,20,0.1837490257209665,0.7310077519379845,0.9908958750517001
6,{Few_Graduate or professional degree -> 20},"['Few_Graduate or professional degree', '20']",Few_Graduate or professional degree,20,0.20401402961808263,0.8122575640031032,1.1010316477717712
7,{Few_High school or higher -> 20},"['Few_High school or higher', '20']",Few_High school or higher,20,0.1979734996102884,0.7863777089783283,1.0659509779389278
8,{Few_Hispanic or Latino population -> 20},"['Few_Hispanic or Latino population', '20']",Few_Hispanic or Latino population,20,0.16640685892439594,0.6615027110766848,0.8966803785645923
9,{Few_Unemployed -> 20},"['Few_Unemployed', '20']",Few_Unemployed,20,0.1759547934528449,0.680482290881688,0.9224075849986325
10,{Few_White population -> 20},"['Few_White population', '20']",Few_White population,20,0.19680436477007016,0.7872174590802806,1.0670892762810353
11,{Few_atm -> 20},"['Few_atm', '20']",Few_atm,20,0.2127825409197194,0.7766714082503556,1.0527938898945655
12,{Few_bank -> 20},"['Few_bank', '20']",Few_bank,20,0.20557287607170693,0.7855547282204021,1.064835410783704
13,{Few_bar -> 20},"['Few_bar', '20']",Few_bar,20,0.20674201091192518,0.7611190817790531,1.0317123950581353
14,{Few_beauty_salon -> 20},"['Few_beauty_salon', '20']",Few_beauty_salon,20,0.20362431800467654,0.7572463768115942,1.0264628647113316
15,{Few_bus_station -> 20},"['Few_bus_station', '20']",Few_bus_station,20,0.21843335931410757,0.785564120532586,1.064848142253891
16,{Few_cafe -> 20},"['Few_cafe', '20']",Few_cafe,20,0.2283710054559626,0.7929634641407307,1.0748781030032304
17,{Few_gym -> 20},"['Few_gym', '20']",Few_gym,20,0.22973499610288386,0.7934051144010767,1.075476768913451
18,{Few_school -> 20},"['Few_school', '20']",Few_school,20,0.20070148090413095,0.7791225416036308,1.056116451006295
19,{20 -> Low_Noise},"['20', 'Low_Noise']",20,Low_Noise,0.6412704598597038,0.8692551505546751,1.0029265810806187
20,{Low_Noise -> 20},"['Low_Noise', '20']",Low_Noise,20,0.6412704598597038,0.7398830935251798,1.0029265810806187
21,{Many_American Indian population -> 20},"['Many_American Indian population', '20']",Many_American Indian population,20,0.1872564302416212,0.7478599221789883,1.0137393345542969
22,{Many_Asian population -> 20},"['Many_Asian population', '20']",Many_Asian population,20,0.17868277474668745,0.7341873498799039,0.9952058847289135
23,{Many_Black population -> 20},"['Many_Black population', '20']",Many_Black population,20,0.18141075604053,0.7026415094339623,0.9524448564223704
24,{Many_Graduate or professional degree -> 20},"['Many_Graduate or professional degree', '20']",Many_Graduate or professional degree,20,0.16932969602494155,0.7070789259560618,0.9584598647666427
25,{Many_High school or higher -> 20},"['Many_High school or higher', '20']",Many_High school or higher,20,0.17887763055339048,0.7421180274858529,1.005956079518594
26,{Many_Hispanic or Latino population -> 20},"['Many_Hispanic or Latino population', '20']",Many_Hispanic or Latino population,20,0.1901792673421668,0.7607170693686672,1.0311674590596935
27,{Many_Unemployed -> 20},"['Many_Unemployed', '20']",Many_Unemployed,20,0.18939984411535463,0.7738853503184713,1.0490173317048057
28,{Many_White population -> 20},"['Many_White population', '20']",Many_White population,20,0.18004676539360873,0.7252747252747253,0.9831246408108532
29,{Many_atm -> 20},"['Many_atm', '20']",Many_atm,20,0.1607560405300078,0.7724719101123596,1.0471013847587505
30,{Many_bank -> 20},"['Many_bank', '20']",Many_bank,20,0.10619641465315667,0.7475994513031551,1.0133862609846254
31,{Many_bar -> 20},"['Many_bar', '20']",Many_bar,20,0.1510132501948558,0.7665677546983185,1.0390981820157872
32,{Many_beauty_salon -> 20},"['Many_beauty_salon', '20']",Many_beauty_salon,20,0.1607560405300078,0.7638888888888888,1.0354669249280977
33,{Many_bus_station -> 20},"['Many_bus_station', '20']",Many_bus_station,20,0.1480904130943102,0.7279693486590038,0.9867772576117293
34,{Many_cafe -> 20},"['Many_cafe', '20']",Many_cafe,20,0.1383476227591582,0.7577374599786553,1.0271285379319754
35,{Many_gym -> 20},"['Many_gym', '20']",Many_gym,20,0.13581449727201872,0.7215320910973085,0.9780514240653426
36,{Many_school -> 20},"['Many_school', '20']",Many_school,20,0.15023382696804366,0.7478176527643066,1.0136820375030167
37,{Meadium to Large Reviews -> 20},"['Meadium to Large Reviews', '20']",Meadium to Large Reviews,20,0.20479345284489478,0.7802524127691165,1.0576480143505298
38,{Medium No Reviews -> 20},"['Medium No Reviews', '20']",Medium No Reviews,20,0.16777084957131722,0.7467476149176062,1.0122315794392909
39,{Moderate_American Indian population -> 20},"['Moderate_American Indian population', '20']",Moderate_American Indian population,20,0.18706157443491817,0.7547169811320754,1.0230342174246727
40,{Moderate_Asian population -> 20},"['Moderate_Asian population', '20']",Moderate_Asian population,20,0.18121590023382697,0.6961077844311377,0.9435882592975697
41,{Moderate_Black population -> 20},"['Moderate_Black population', '20']",Moderate_Black population,20,0.1837490257209665,0.734996102883866,0.9963021658742737
42,{Moderate_Graduate or professional degree -> 20},"['Moderate_Graduate or professional degree', '20']",Moderate_Graduate or professional degree,20,0.20323460639127047,0.778939507094847,1.0558683440070669
43,{Moderate_High school or higher -> 20},"['Moderate_High school or higher', '20']",Moderate_High school or higher,20,0.2034294621979735,0.7721893491124261,1.0467183675765903
44,{Moderate_Hispanic or Latino population -> 20},"['Moderate_Hispanic or Latino population', '20']",Moderate_Hispanic or Latino population,20,0.18296960249415434,0.7364705882352941,0.9983008607563468
45,{Moderate_Unemployed -> 20},"['Moderate_Unemployed', '20']",Moderate_Unemployed,20,0.19329696024941542,0.7342709104367136,0.995319152763131
46,{Moderate_White population -> 20},"['Moderate_White population', '20']",Moderate_White population,20,0.18686671862821513,0.7422600619195048,1.006148610082118
47,{Moderate_atm -> 20},"['Moderate_atm', '20']",Moderate_atm,20,0.20362431800467654,0.7599999999999999,1.0301954569466454
48,{Moderate_bank -> 20},"['Moderate_bank', '20']",Moderate_bank,20,0.2768901013250195,0.7710255018990777,1.0451407490084699
49,{Moderate_bar -> 20},"['Moderate_bar', '20']",Moderate_bar,20,0.22427903351519876,0.7878165639972623,1.0679013751806523
50,{Moderate_beauty_salon -> 20},"['Moderate_beauty_salon', '20']",Moderate_beauty_salon,20,0.20985970381917382,0.7643718949609652,1.036121649482217
51,{Moderate_bus_station -> 20},"['Moderate_bus_station', '20']",Moderate_bus_station,20,0.2127825409197194,0.7546648237733242,1.0229635170641045
52,{Moderate_cafe -> 20},"['Moderate_cafe', '20']",Moderate_cafe,20,0.21239282930631334,0.7601115760111578,1.0303467004990126
53,{Moderate_gym -> 20},"['Moderate_gym', '20']",Moderate_gym,20,0.2225253312548714,0.7664429530201342,1.0389290108027809
54,{Moderate_school -> 20},"['Moderate_school', '20']",Moderate_school,20,0.22388932190179267,0.7614314115308151,1.0321357643888385
55,{NY -> 20},"['NY', '20']",NY,20,0.17692907248636008,0.7189231987331749,0.9745150174058779
56,{Small No Reviews -> 20},"['Small No Reviews', '20']",Small No Reviews,20,0.15159781761496494,0.7695351137487636,1.0431204975590742
57,{Super many_American Indian population -> 20},"['Super many_American Indian population', '20']",Super many_American Indian population,20,0.19154325798908808,0.7673692427790789,1.0401846154099927
58,{Super many_Asian population -> 20},"['Super many_Asian population', '20']",Super many_Asian population,20,0.17809820732657833,0.7312,0.99115647120972
59,{Super many_Black population -> 20},"['Super many_Black population', '20']",Super many_Black population,20,0.18881527669524553,0.7852512155591573,1.0644239931985195
60,{Super many_Graduate or professional degree -> 20},"['Super many_Graduate or professional degree', '20']",Super many_Graduate or professional degree,20,0.16114575214341387,0.6486274509803921,0.8792277016458986
61,{Super many_High school or higher -> 20},"['Super many_High school or higher', '20']",Super many_High school or higher,20,0.15744349181605613,0.6458832933653078,0.8755079401877336
62,{Super many_Hispanic or Latino population -> 20},"['Super many_Hispanic or Latino population', '20']",Super many_Hispanic or Latino population,20,0.19816835541699143,0.7926734216679657,1.0744849445324882
